,id_x,name,artists,popularity,duration,type_x,explicit,date_added,date_released,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type_y,id_y,uri,track_href,analysis_url,duration_ms,time_signature
41,2Fxmhks0bxGSBdJ92vM42m,bad guy,Billie Eilish,83,194087,track,False,2019-07-14T01:24:24Z,2019-03-29,0.701,0.425,7,-10.965,1,0.375,0.328,0.13,0.1,0.562,135.128,audio_features,2Fxmhks0bxGSBdJ92vM42m,spotify:track:2Fxmhks0bxGSBdJ92vM42m,https://api.spotify.com/v1/tracks/2Fxmhks0bxGSBdJ92vM42m,https://api.spotify.com/v1/audio-analysis/2Fxmhks0bxGSBdJ92vM42m,194088,4
42,67XyC1GdSkKb9sbRRkUDXS,Shotta Flow (Feat. Blueface) [Remix],NLE Choppa,70,176631,track,True,2019-07-14T01:22:59Z,2019-06-20,0.894,0.511,2,-4.768,1,0.42,0.0251,0.0,0.14,0.568,120.08,audio_features,67XyC1GdSkKb9sbRRkUDXS,spotify:track:67XyC1GdSkKb9sbRRkUDXS,https://api.spotify.com/v1/tracks/67XyC1GdSkKb9sbRRkUDXS,https://api.spotify.com/v1/audio-analysis/67XyC1GdSkKb9sbRRkUDXS,176632,4
43,2IRZnDFmlqMuOrYOLnZZyc,Going Bad (feat. Drake),Meek Mill,79,180522,track,True,2019-07-14T01:21:55Z,2018-11-30,0.889,0.496,4,-6.365,0,0.0905,0.259,0.0,0.252,0.544,86.003,audio_features,2IRZnDFmlqMuOrYOLnZZyc,spotify:track:2IRZnDFmlqMuOrYOLnZZyc,https://api.spotify.com/v1/tracks/2IRZnDFmlqMuOrYOLnZZyc,https://api.spotify.com/v1/audio-analysis/2IRZnDFmlqMuOrYOLnZZyc,180522,4
44,3SZqA7rQvROJsCbUu2v0xa,Go Loko,YG,0,299226,track,True,2019-07-14T01:19:27Z,2019-05-03,0.88,0.67,2,-5.188,1,0.0429,0.299,5.08e-06,0.0677,0.142,100.995,audio_features,3SZqA7rQvROJsCbUu2v0xa,spotify:track:3SZqA7rQvROJsCbUu2v0xa,https://api.spotify.com/v1/tracks/3SZqA7rQvROJsCbUu2v0xa,https://api.spotify.com/v1/audio-analysis/3SZqA7rQvROJsCbUu2v0xa,299227,4
45,7nnWIPM5hwE3DaUBkvOIpy,Drive,Incubus,74,232453,track,False,2019-07-11T03:17:32Z,1999-10-26,0.645,0.792,4,-7.34,0,0.036,0.0562,0.0121,0.119,0.666,90.565,audio_features,7nnWIPM5hwE3DaUBkvOIpy,spotify:track:7nnWIPM5hwE3DaUBkvOIpy,https://api.spotify.com/v1/tracks/7nnWIPM5hwE3DaUBkvOIpy,https://api.spotify.com/v1/audio-analysis/7nnWIPM5hwE3DaUBkvOIpy,232453,4
46,3A2yGHWIzmGEIolwonU69h,Act Up,City Girls,67,158332,track,True,2019-07-10T04:07:42Z,2018-11-16,0.938,0.638,8,-4.713,1,0.189,0.0167,0.0,0.111,0.313,97.075,audio_features,3A2yGHWIzmGEIolwonU69h,spotify:track:3A2yGHWIzmGEIolwonU69h,https://api.spotify.com/v1/tracks/3A2yGHWIzmGEIolwonU69h,https://api.spotify.com/v1/audio-analysis/3A2yGHWIzmGEIolwonU69h,158332,4
47,5B9i8lNp6NCr5LA1rMyfK1,Jaw (Psalm 3) [Remastered],Enter The Worship Circle,8,199654,track,False,2019-07-10T04:03:17Z,2010-01-01,0.451,0.459,4,-6.038,1,0.0344,0.7,0.0,0.111,0.301,141.598,audio_features,5B9i8lNp6NCr5LA1rMyfK1,spotify:track:5B9i8lNp6NCr5LA1rMyfK1,https://api.spotify.com/v1/tracks/5B9i8lNp6NCr5LA1rMyfK1,https://api.spotify.com/v1/audio-analysis/5B9i8lNp6NCr5LA1rMyfK1,199654,4
48,5AiNZnMDCWwujIENPj9PV9,Everything In Its Right Place,Radiohead,0,251426,track,False,2019-07-10T03:42:21Z,2000-10-01,0.293,0.462,5,-11.412,0,0.0453,0.699,0.0444,0.0954,0.0623,124.004,audio_features,5AiNZnMDCWwujIENPj9PV9,spotify:track:5AiNZnMDCWwujIENPj9PV9,https://api.spotify.com/v1/tracks/5AiNZnMDCWwujIENPj9PV9,https://api.spotify.com/v1/audio-analysis/5AiNZnMDCWwujIENPj9PV9,251427,5
49,72YV32MfLwaJLbXzU6XL5N,Sestri Levante - Live,Tame Impala,38,117572,track,False,2019-07-09T04:50:59Z,2014-05-16,0.413,0.832,0,-6.782,1,0.0322,0.0726,0.0475,0.225,0.0886,102.448,audio_features,72YV32MfLwaJLbXzU6XL5N,spotify:track:72YV32MfLwaJLbXzU6XL5N,https://api.spotify.com/v1/tracks/72YV32MfLwaJLbXzU6XL5N,https://api.spotify.com/v1/audio-analysis/72YV32MfLwaJLbXzU6XL5N,117573,4
0,2bal8ZXa9pFioevEAQXqsr,Closer to Fine,Indigo Girls,34,241666,track,False,2019-07-09T03:24:35Z,1987,0.531,0.691,9,-6.353,1,0.0291,0.319,0.0,0.223,0.745,98.386,audio_features,2bal8ZXa9pFioevEAQXqsr,spotify:track:2bal8ZXa9pFioevEAQXqsr,https://api.spotify.com/v1/tracks/2bal8ZXa9pFioevEAQXqsr,https://api.spotify.com/v1/audio-analysis/2bal8ZXa9pFioevEAQXqsr,241667,4
